,Longitude,Latitude,RMI_p
1,-78.38464,38.57378,29.51360321
2,-78.38567,38.57132,19.19874382
3,-78.38587,38.57045,19.08492088
4,-78.38435,38.57868,17.09100723
5,-78.38401,38.57675,26.70911598
6,-78.38367,38.57306,25.42871475
7,-78.38421,38.56338,23.3169117
8,-78.38463,38.56585,22.07968521
9,-78.38524,38.5606,24.83946609
10,-78.40269,38.55371,27.73342514
11,-78.40177,38.55317,13.16042042
12,-78.38305,38.59497,14.21617699
13,-78.40361,38.55548,36.54285812
14,-78.40892,38.55444,33.6263504
15,-78.39986,38.551,18.8833046
16,-78.40313,38.55445,23.04035568
17,-78.32238,38.63932,14.91552734
18,-78.32329,38.63644,14.82010841
19,-78.32269,38.63564,19.45802116
20,-78.32545,38.63283,24.19093132
21,-78.38741,38.55853,35.09207535
22,-78.39347,38.55486,33.32075119
23,-78.39211,38.55437,20.76739311
24,-78.39091,38.55359,42.62146759
25,-78.3363,38.63508,29.89822578
26,-78.33742,38.63607,15.94789696
27,-78.33543,38.63324,29.4847126
28,-78.38612,38.55969,22.2639122
29,-78.39238,38.55264,41.35054398
30,-78.39008,38.55178,33.42938614
31,-78.3897,38.55605,32.16714096
32,-78.38853,38.55517,28.93893051
33,-78.38766,38.5573,28.50334358
34,-78.38846,38.55799,26.15644264
35,-78.32487,38.63361,19.06815529
36,-78.36182,38.59811,30.2909317
37,-78.32607,38.63209,18.97540855
38,-78.32668,38.63046,23.55053711
39,-78.32426,38.63329,20.4726162
40,-78.32333,38.64028,15.35459614
41,-78.33427,38.62986,28.71866989
42,-78.33409,38.63243,24.59291458
43,-78.33649,38.62817,13.2484293
44,-78.33517,38.62923,29.88535881
45,-78.33488,38.62947,31.38516998
46,-78.33475,38.62982,37.44345474
47,-78.33633,38.63425,26.26131058
48,-78.33369,38.62955,19.52283096
49,-78.38519,38.55855,12.85239029
50,-78.33645,38.63237,26.8454895
51,-78.364,38.631,28.57022858
52,-78.36629,38.56713,27.6225872
53,-78.3649,38.6107,20.28243828
54,-78.36629,38.60513,22.88250923
55,-78.36744,38.60482,17.55652046
56,-78.37192,38.60168,21.21868134
57,-78.36075,38.5979,36.0569725
58,-78.36723,38.60688,12.16234779
59,-78.36693,38.60774,14.27671814
60,-78.36071,38.59698,28.27620506
61,-78.38366,38.60451,23.97691345
62,-78.35181,38.61708,28.04513168
63,-78.38232,38.59663,11.08325768
64,-78.35433,38.61471,21.11037064
65,-78.34958,38.61676,15.45057106
66,-78.38058,38.59831,29.11600113
67,-78.36028,38.59596,27.23905754
68,-78.36239,38.59603,53.88524628
69,-78.35886,38.59507,19.29982376
70,-78.35991,38.59147,27.94103813
71,-78.35892,38.61489,19.48127365
72,-78.35888,38.61668,31.28503418
73,-78.36095,38.61795,14.27384186
74,-78.36015,38.61578,15.21611595
75,-78.35991,38.61858,26.55224609
76,-78.35986,38.61956,31.31537247
77,-78.35969,38.62035,33.44115067
78,-78.36165,38.61931,17.36235046
79,-78.36231,38.58706,20.99493408
80,-78.36372,38.58827,14.0530014
81,-78.36684,38.58446,22.78734589
82,-78.34109,38.62658,14.10511112
83,-78.34228,38.62514,24.7293663
84,-78.36455,38.58705,31.4124794
85,-78.3443,38.62401,25.31720924
86,-78.34534,38.62377,19.53735924
87,-78.34548,38.62215,16.00927544
88,-78.34489,38.61997,27.90902138
89,-78.37881,38.59666,20.64258194
90,-78.37713,38.59512,30.96994019
91,-78.37572,38.59385,33.97934723
92,-78.37366,38.59478,15.86683559
93,-78.33428,38.62664,19.3733387
94,-78.33228,38.62499,22.17847633
95,-78.33124,38.62614,18.2015686
96,-78.3834,38.60338,27.8987236
97,-78.38155,38.60019,23.77516174
98,-78.38213,38.60106,28.18486404
99,-78.38422,38.60276,13.08201027
100,-78.32985,38.62695,21.67780685
101,-78.32972,38.62862,26.13275909
102,-78.38737,38.5912,10.36905861
103,-78.38765,38.59158,15.26882267
104,-78.38966,38.59238,23.58103752
