"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"PS3601",0,8,8,0,2,4,4,2,0,2
"PS3602",0,8,8,0,0,0,0,0,0,0
"PS3603",0,8,8,0,0,0,0,0,0,0
"PS3604",0,8,8,0,0,0,0,0,0,0
"PS3605",0,8,8,0,0,0,0,0,0,0
"PS3606",0,8,8,0,0,0,0,0,0,0
"PS3607",0,7,8,0,0,0,0,0,0,0
"PS3608",0,9,8,0,2,4,4,2,0,2
"PS3610",0,7,8,0,2,4,6,4,0,2
"PS3611",0,7,8,0,0,0,0,0,0,0
"PS3612",0,5,8,0,0,0,0,0,0,0
"PS3613",0,8,8,0,0,0,0,0,0,0
"PS3614",0,7,8,0,0,0,0,0,0,0
"PS3615",0,8,8,0,0,0,0,0,0,0
"PS3617",0,7,8,0,0,0,0,0,0,0
"PS3618",0,6,4,0,2,4,6,4,0,0
"PS3619",0,8,8,0,2,4,4,2,0,0
"PS3620",0,8,8,0,2,4,4,2,0,0
"PS3621",0,8,8,0,2,4,4,2,0,0
"PS3622",0,7,8,0,2,4,6,4,0,2
"PS3623",0,7,8,0,0,0,0,0,0,0
"PS3624",0,6,8,0,0,0,0,0,0,0
"PS3625",0,7,8,0,2,4,6,4,0,0
"PS3626",0,7,8,0,0,0,0,0,0,0
"PS3627",0,7,7,0,0,0,0,0,0,0
"PS3628",0,7,8,0,0,0,0,0,0,0
"PS3630",0,7,7,0,0,0,0,0,0,0
"PS3631",0,6,8,0,0,0,0,0,0,0
"PS3632",0,7,8,0,0,0,0,0,0,0
"PS3633",0,7,8,0,0,0,0,0,0,0
"PS3634",0,5,8,0,0,0,0,0,0,0
"PS3635",0,5,6,0,0,0,0,0,0,0
"PS3636",0,6,8,0,0,0,0,0,0,0
"PS3637",0,3,4,0,2,4,6,4,0,0
"PS3638",0,7,8,0,0,0,0,0,0,0
"PS3639",0,8,8,0,0,0,0,0,0,0
"PS3640",0,7,8,0,2,4,6,4,0,2
"PS3642",0,8,8,0,2,4,6,4,0,2
"PS3643",0,8,8,0,0,0,0,0,0,0
"PS3644",0,8,8,0,0,0,0,0,0,0
"PS3645",0,7,8,0,0,0,0,0,0,0
"PS3646",0,7,7,0,0,0,0,0,0,0
"PS3647",0,8,8,0,0,0,0,0,0,0
"PS3648",0,8,8,0,0,0,0,0,0,0
"PS3649",0,8,8,0,0,0,0,0,0,0
"PS3650",0,8,8,0,2,4,6,4,0,2
"PS3652",0,7,7,0,0,0,0,0,0,0
"PS3653",0,8,7,0,0,0,0,0,0,0
"PS3654",0,7,8,0,2,4,6,4,0,0
"PS3655",0,7,8,0,0,0,0,0,0,0
"PS3656",0,7,7,0,2,4,4,2,0,0
"PS3657",0,8,8,0,0,4,4,2,0,0
"PS3658",0,8,8,0,2,4,4,2,0,2
"PS3659",0,7,8,0,0,0,0,0,0,0
"PS3660",0,8,8,0,2,4,6,4,0,0
"PS3661",0,8,7,0,2,4,6,4,0,0
"PS3662",0,7,6,0,2,4,6,4,0,0
"PS3663",0,8,8,0,2,4,6,4,0,0
"PS3664",0,8,8,0,0,0,0,0,0,0
"PS3665",0,8,8,0,0,0,0,0,0,0
"PS3666",0,8,8,0,2,4,4,2,0,0
"PS3667",0,7,8,0,2,4,4,2,0,2
"PS3668",0,8,8,0,0,0,0,0,0,0
"PS3669",0,7,8,0,0,0,0,0,0,0
"PS3670",0,7,8,0,0,0,0,0,0,0
"PS3671",0,8,8,0,2,4,6,4,0,0
"PS3672",0,8,8,0,2,4,6,4,0,0
"PS3673",0,8,8,0,0,0,0,0,0,0
"PS3674",0,8,8,0,2,4,4,2,0,0
"PS3675",0,7,8,0,0,0,0,0,0,0
"PS3676",0,7,8,0,0,0,0,0,0,0
"PS3677",0,7,8,0,0,0,0,0,0,0
"PS3678",0,6,8,0,2,4,4,2,0,2
"PS3679",0,7,8,0,0,0,0,0,0,0
"PS3680",0,7,8,0,2,4,4,2,0,2
"PS3681",0,7,8,0,0,0,0,0,0,0
"PS3682",0,6,8,0,2,4,4,2,0,2
"PS3683",0,7,8,0,0,0,0,0,0,0
"PS3684",0,8,8,0,2,0,0,0,0,0
"PS3685",0,8,8,0,0,0,0,0,0,0
"PS3686",0,8,8,0,0,0,0,0,0,0
"PS3687",0,8,8,0,0,0,0,0,0,0
"PS3688",0,8,8,0,0,0,0,0,0,0
"PS3689",0,8,8,0,2,0,0,0,0,0
"PS3690",0,7,8,0,2,4,4,2,0,2
"PS3691",0,8,8,0,2,4,4,2,0,2
"PS3692",0,8,8,0,0,0,0,0,0,0
"PS3693",0,8,8,0,0,0,0,0,0,0
"PS3694",0,8,8,0,0,0,0,0,0,0
"PS3695",0,8,8,0,0,0,0,0,0,0
"PS3696",0,8,8,0,0,0,0,0,0,0
"PS3697",0,8,8,0,0,0,0,0,0,0
"PS3698",0,8,8,0,0,0,0,0,0,0
"PS3699",0,9,8,0,0,0,0,0,0,0
"PS3700",0,9,8,0,0,0,0,0,0,0
"PS3701",0,8,8,0,2,4,4,2,0,0
"PS3702",0,8,8,0,0,0,0,0,0,0
"PS3703",0,8,8,0,0,0,0,0,0,0
"PS3704",0,8,8,0,2,4,4,2,0,0
"PS3706",0,9,8,0,0,0,0,0,0,0
"PS3707",0,7,8,0,2,4,6,4,0,2
"PS3708",0,7,8,0,0,0,0,0,0,0
"PS3709",0,7,8,0,2,4,14,4,0,0
"PS3710",0,7,8,0,0,0,0,0,0,0
"PS3711",0,7,8,0,2,4,14,4,0,0
"PS3712",0,7,8,0,0,4,6,4,0,2
"PS3789",0,7,7,0,0,4,4,2,0,0
"PS3797",0,6,8,0,2,0,0,0,0,0
"PSH1B",3,8,8,0,0,0,0,0,0,0
"PSHIT",3,7,7,0,2,4,6,4,0,0
"PSH2B",3,4,7,0,0,0,0,0,0,0
"PSH2T",3,7,8,0,0,0,0,0,0,0
"PSH3B",3,9,8,0,0,0,0,0,0,0
"PSH3T",3,9,8,0,0,0,0,0,0,0
"PSH4B",3,9,8,0,0,0,0,0,0,0
"PSH4T",3,9,8,0,0,0,0,0,0,0
"PSS1B",3,7,8,0,2,4,6,4,0,0
"PSS1T",3,7,8,0,0,0,0,0,0,0
"PSS2B",3,9,8,0,2,4,6,4,0,0
"PSS2T",3,7,7,0,0,0,0,0,0,0
"PSS3B",3,8,8,0,2,4,6,4,0,0
"PSS3T",3,7,8,0,0,0,0,0,0,0
"PSS4B",3,6,8,0,0,0,0,0,0,0
