GPSID,Latitude,Longitude,aspect
PS1522,38.59953,-78.39711,271.058075
PS1932,38.57219,-78.38786,327.7985535
PS2357,38.56287,-78.38087,291.5926819
PS2680,38.5344946,-78.37235637,81.4453125
PS2732,38.58823,-78.37976,191.8455353
PS2745,38.59973,-78.38103,23.99836922
PS2875,38.58554,-78.37705,212.5466614
PS2876,38.58655,-78.3773,198.9172668
PS2897,38.60501,-78.37959,292.8865356
PS2914,38.55842343,-78.37237816,135.7902374
PS2921,38.56448312,-78.3730234,90.53386688
PS2992,38.56584485,-78.37205353,92.51367188
PS2997,38.56985,-78.37268,118.267067
PS3018,38.58869,-78.37567,169.5828247
PS3122,38.55674964,-78.36885366,104.7566681
PS3177,38.60561,-78.37513,324.812561
PS3295,38.5924076,-78.37105877,259.2559814
PS3374,38.60315,-78.37141,334.9819641
PS3424,38.58909,-78.36829,216.2581482
PS3526,38.57326,-78.36388,162.1420898
PS3562,38.60528,-78.36816,306.0215759
PS3601,38.57377999,-78.38463997,297.4164429
PS3608,38.56584996,-78.38462999,262.8093872
PS3610,38.56060004,-78.38524003,329.5903931
PS3618,38.55444998,-78.40313002,316.0718994
PS3619,38.63932002,-78.32238003,290.7495117
PS3620,38.63644,-78.32328997,306.5206299
PS3621,38.63564003,-78.32268999,120.0386581
PS3622,38.63283,-78.32544998,344.6043701
PS3625,38.55437002,-78.39211,112.5586548
PS3637,38.55799,-78.38846002,341.495697
PS3640,38.63208996,-78.32606999,355.3443909
PS3642,38.63046002,-78.32668003,338.68573
PS3650,38.62981997,-78.33475004,4.668647766
PS3654,38.55854999,-78.38518999,202.5557861
PS3656,38.63321004,-78.33647998,2.019627333
PS3657,38.56708,-78.38538,238.852829
PS3658,38.61070001,-78.3649,337.6604309
PS3660,38.60482003,-78.36743996,331.1697083
PS3661,38.60168,-78.37192001,341.3084717
PS3662,38.59790001,-78.36075003,345.7290344
PS3663,38.60687996,-78.36723,285.5856323
PS3666,38.60450998,-78.38366004,58.78565598
PS3667,38.61707998,-78.35180998,35.12775421
PS3671,38.59830997,-78.38058002,44.03183365
PS3672,38.59596002,-78.36027998,21.06513214
PS3674,38.59507003,-78.35886,66.13539124
PS3678,38.61795003,-78.36095002,270.2919617
PS3680,38.61858001,-78.35991,80.22386932
PS3682,38.62035002,-78.35968997,26.78615189
PS3684,38.58706003,-78.36230999,152.3977509
PS3689,38.58704997,-78.36454997,164.8562927
PS3690,38.62400997,-78.34429996,325.1509094
PS3691,38.62377,-78.34533999,359.5436401
PS3701,38.60338002,-78.38340003,43.66678619
PS3704,38.60276001,-78.38422003,289.7460327
