field_1,Longitude,Latitude,RMI_p,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,elevation,aspect
1,-78.38464,38.57378,29.51360321,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1011.150452,297.4164429
2,-78.38567,38.57132,19.19874382,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1026.531616,294.3237
3,-78.38587,38.57045,19.08492088,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1047.070557,318.264801
4,-78.38435,38.57868,17.09100723,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1053.855103,127.2258606
5,-78.38401,38.57675,26.70911598,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1009.399109,256.4734497
6,-78.38367,38.57306,25.42871475,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1031.170044,31.07799721
7,-78.38421,38.56338,23.3169117,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1029.18335,265.6174622
8,-78.38463,38.56585,22.07968521,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1032.934204,262.8093872
9,-78.38524,38.5606,24.83946609,26.98500061,26.89299965,25.83699989,26.28300095,24.14299965,29.04199982,28.59900093,28.44599915,26.24900055,25.52199936,26.20199966,27.44300079,1011.793579,329.5903931
10,-78.40269,38.55371,27.73342514,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1128.827759,263.6918945
11,-78.40177,38.55317,13.16042042,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1149.83667,215.2581787
12,-78.38305,38.59497,14.21617699,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1062.930176,270.2077942
13,-78.40361,38.55548,36.54285812,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1073.731445,29.14964485
14,-78.40892,38.55444,33.6263504,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1017.02478,221.0754395
15,-78.39986,38.551,18.8833046,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1144.95874,182.9645081
16,-78.40313,38.55445,23.04035568,26.9260006,26.85899925,25.79700089,26.31800079,24.22100067,29.17499924,28.77199936,28.61000061,26.37000084,25.59399986,26.33699989,27.39599991,1107.970703,316.0718994
17,-78.32238,38.63932,14.91552734,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1008.889771,290.7495117
18,-78.32329,38.63644,14.82010841,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,993.5631714,306.5206299
19,-78.32269,38.63564,19.45802116,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,991.6821289,120.0386581
20,-78.32545,38.63283,24.19093132,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1033.976318,344.6043701
