"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"1",2,0.000550366228578631,4.83851869342118e-16,0.999999999670071,1,0.999114389135495,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"2",3,0.000609068502509301,1.64069418893135e-16,0.999999999734386,1,0.99932393089664,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"3",4,0.00123117241135312,2.89357449363879e-16,0.999999999867746,1,0.999738432254059,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"4",5,0.000628124237298646,7.39996957190969e-17,0.999999999894532,1,0.999725469798785,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"5",6,0.000769285872990563,9.34007496017504e-17,0.999999999935257,1,0.999852105262144,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"6",7,0.000428547825168708,2.63061977526649e-17,0.999999999937933,1,0.999774656295326,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"7",8,0.000741477886415624,4.28719073279211e-17,0.999999999968652,1,0.999903079764721,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"8",9,0.000341369761557903,1.0558008569515e-17,0.999999999967995,1,0.99984266151999,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"9",10,0.000527746346677913,1.46009943854297e-17,0.999999999981664,1,0.999915906161047,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"10",2,0.52865056923823,5.93586154198599e-13,0.999999999999865,1,0.999999638357924,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"11",3,0.51797451658025,4.45343280566421e-13,0.999999999999848,1,0.999999689647729,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"12",4,0.867488211077876,7.24645052717282e-13,0.999999999999958,1,0.999999905728541,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"13",5,0.805880934861717,2.65622715306474e-13,0.999999999999958,1,0.999999896052034,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"14",6,0.914206545366471,3.73469621189686e-13,0.999999999999981,1,0.999999947824846,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"15",7,0.784936417225155,1.22996606264527e-13,0.999999999999981,1,0.999999927598944,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"16",8,0.949048219031949,1.80114118009687e-13,0.999999999999992,1,0.999999972381939,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"17",9,0.828013158099105,5.68383111218592e-14,0.999999999999991,1,0.999999955329162,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"18",10,0.940171921791664,8.21700587471088e-14,0.999999999999996,1,0.999999980496057,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"19",2,0.000342145906124546,1.39008499366542e-16,0.999999999747478,1,0.999081837841727,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"20",3,5.90576589318206e-05,1.87556296023336e-17,0.999999999176593,1,0.994985538962036,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"21",4,9.75688842211585e-05,2.02990039810287e-17,0.999999999715505,1,0.998832891581825,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"22",5,4.49450519056009e-05,8.50252077200067e-18,0.999999999627936,1,0.997548736446484,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"23",6,6.00447567738179e-05,4.65138332711583e-18,0.999999999859421,1,0.999193971754848,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"24",7,2.36112100024406e-05,2.8348721558694e-18,0.999999999771504,1,0.997807982868405,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"25",8,5.21721137339254e-05,2.57031120816862e-18,0.999999999930165,1,0.999474925728915,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"26",9,1.83569141946387e-05,7.53185769119115e-19,0.999999999881007,1,0.998202623053487,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
