"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"1",2,0.000489169901701222,3.60569238421801e-16,0.999999999609501,1,0.999036261497228,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"2",3,0.000449445459630629,1.96553432337132e-16,0.999999999736298,1,0.999091224793493,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"3",4,0.00124893558956502,2.2305095480883e-16,0.999999999891876,1,0.999699190713823,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"4",5,0.000535230485164317,1.04581898163959e-16,0.999999999889715,1,0.999575737913876,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"5",6,0.000708351291745563,6.2055321205413e-17,0.999999999947557,1,0.99979923906178,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"6",7,0.000391710890397284,3.64444663793385e-17,0.999999999944566,1,0.999717293391382,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"7",8,0.000724639670306077,3.21052884109958e-17,0.999999999972478,1,0.999856910995091,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"8",9,0.00027375595346015,1.33103503539346e-17,0.999999999969263,1,0.999764778230037,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"9",10,0.000544293323705001,9.57819606475262e-18,0.999999999986071,1,0.999897742568603,1,0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,0.48828125
"10",2,0.527546409623997,5.38218867590148e-13,0.99999999999985,1,0.999999606546186,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"11",3,0.51787446220263,3.12304111046386e-13,0.999999999999853,1,0.999999538017595,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"12",4,0.887718374222573,8.43265892301808e-13,0.999999999999953,1,0.999999887503926,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"13",5,0.794443284260136,2.530520323081e-13,0.99999999999996,1,0.999999862618478,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"14",6,0.921860084068315,2.92242094854913e-13,0.99999999999998,1,0.999999937470088,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"15",7,0.779547099494608,1.11903862701513e-13,0.999999999999982,1,0.999999906673513,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"16",8,0.953978646347848,1.98906672234156e-13,0.999999999999992,1,0.999999969447994,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"17",9,0.816594221143386,4.07677998687384e-14,0.999999999999992,1,0.999999942368827,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"18",10,0.945299417108265,8.7203983616845e-14,0.999999999999996,1,0.999999977386934,2,0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,0.98828125
"19",2,0.00033827465513026,1.73354049626574e-16,0.999999999729267,1,0.999001905852841,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"20",3,7.04670105566599e-05,3.10390280207905e-17,0.999999998969022,1,0.994678962069617,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"21",4,0.000117812689650836,2.07603996858768e-17,0.999999999587437,1,0.998336611457537,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"22",5,5.04912276738001e-05,1.28013665693091e-17,0.999999999519055,1,0.997369921025846,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"23",6,7.34923725974049e-05,6.35223199232201e-18,0.999999999803112,1,0.998954810378659,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"24",7,2.93941240135418e-05,4.21272674194582e-18,0.999999999707179,1,0.997532858870059,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"25",8,6.19786591177253e-05,2.60262295962331e-18,0.999999999901356,1,0.999318256969141,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"26",9,2.27836927757347e-05,1.48350149070343e-18,0.999999999842958,1,0.998222864828787,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"27",10,3.92436471224045e-05,7.59180442989285e-19,0.99999999993652,1,0.999315246260898,3,0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,0.23828125
"28",2,0.000391344223034671,1.74930865355411e-16,0.999999999687894,1,0.999139590638506,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"29",3,0.00165822402692989,2.61519897741763e-16,0.999999999921258,1,0.999802801168152,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"30",4,0.00213801572675414,2.5910078895924e-16,0.999999999962597,1,0.999909481442255,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"31",5,0.00165901926223372,9.45508097554254e-17,0.999999999972111,1,0.999927165158826,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"32",6,0.00178324096341901,8.31045850434719e-17,0.999999999985346,1,0.999954724620035,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"33",7,0.00120105675194943,3.53930833167549e-17,0.999999999986365,1,0.999950871202541,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"34",8,0.00147104971732658,4.15301566575725e-17,0.999999999992036,1,0.999969339082227,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"35",9,0.00109137613334384,1.3435043056462e-17,0.99999999999375,1,0.999968824900905,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"36",10,0.00104217277584539,1.3987520231654e-17,0.999999999995845,1,0.999974986765182,4,0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,0.73828125
"37",2,0.00243239252945818,1.73367296991904e-15,0.999999999959752,1,0.9998753948932,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"38",3,0.0021619135340083,1.16365093587619e-15,0.999999999962577,1,0.999852637184947,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"39",4,0.00542238600879266,1.88761042065239e-15,0.999999999987747,1,0.99994947150327,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"40",5,0.00228182736791871,7.13980506895741e-16,0.999999999987651,1,0.999936195489376,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"41",6,0.00347462510132915,5.3989137529992e-16,0.999999999994242,1,0.99996847450991,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"42",7,0.00175557348007932,2.70319711978341e-16,0.999999999993675,1,0.999952101532295,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"43",8,0.00340094586721311,2.94681224806869e-16,0.999999999997327,1,0.999979397907828,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"44",9,0.00127574157606946,8.99093263416105e-17,0.999999999996743,1,0.999964803184618,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"45",10,0.00271336692390067,1.13592696270669e-16,0.999999999998609,1,0.999983558459934,5,0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,0.86328125
"46",2,3.74644477490795e-05,1.31522841594691e-17,0.999999997922357,1,0.993055590821406,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"47",3,1.98235691810371e-05,7.5028645143684e-18,0.999999994553895,1,0.987358297147924,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"48",4,3.13820461344251e-05,5.72015044641557e-18,0.999999997054818,1,0.995000155577002,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"49",5,1.48986870722381e-05,2.69335216611253e-18,0.999999996696807,1,0.992824017406424,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"50",6,1.89724689812398e-05,1.82303441537704e-18,0.999999998427319,1,0.996834961868653,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"51",7,8.66865525522697e-06,9.65500176614484e-19,0.999999997992123,1,0.993654355922224,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"52",8,1.48813914630049e-05,6.63431950115081e-19,0.999999999061385,1,0.997536238666606,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"53",9,7.07463721220853e-06,3.39209376079157e-19,0.999999998967057,1,0.995692888874996,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
